customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,network_quality,complaint_text,Churn
PKTLC-C79484,Male,0,No,No,12,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Credit card (automatic),24.58,307.46,0,Constantly losing 4G signal and reverting to EDGE. Very disappointing.,Yes
PKTLC-550175,Female,0,No,Yes,10,Yes,Yes,Fiber optic,Yes,No,No,No,No,Yes,Month-to-month,Yes,Bank transfer (automatic),77.11,767.6,2,Network quality is consistently good. No call drops in my area.,No
PKTLC-71709C,Male,0,Yes,No,17,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Bank transfer (automatic),29.1,483.04,0,Internet speed is terrible. Cannot even use WhatsApp properly.,Yes
PKTLC-534E96,Male,0,No,No,64,Yes,Yes,DSL,Yes,No,No,No,No,No,Two year,No,Mailed check,52.13,3264.97,1,Overall satisfied with the service. No major issues at this point.,No
PKTLC-CEAC27,Female,1,No,No,18,Yes,Yes,Fiber optic,Yes,Yes,No,No,Yes,Yes,Two year,Yes,Electronic check,97.21,1705.46,2,Service quality has degraded significantly over the past few months.,No
PKTLC-41D3A8,Male,1,No,Yes,53,Yes,No,DSL,Yes,No,No,Yes,Yes,Yes,Month-to-month,No,Mailed check,72.72,3701.76,1,Support team was helpful and resolved my issue quickly.,No
PKTLC-A079D0,Male,0,No,No,27,Yes,No,DSL,No,Yes,No,No,Yes,Yes,One year,Yes,Bank transfer (automatic),62.53,1665.55,1,Service quality has degraded significantly over the past few months.,Yes
PKTLC-8A84F4,Male,0,Yes,No,69,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Bank transfer (automatic),18.0,1156.0,0,Reasonable price for the data allowance provided. Mostly satisfied.,No
PKTLC-15FA1F,Male,0,No,Yes,15,Yes,Yes,Fiber optic,No,Yes,No,No,No,No,Month-to-month,Yes,Electronic check,73.49,1036.0,2,,Yes
PKTLC-12D7A1,Male,0,No,Yes,59,Yes,Yes,DSL,No,No,Yes,No,No,Yes,One year,No,Mailed check,49.34,3037.81,1,Refund was promised two weeks ago but has still not been received.,No
PKTLC-A72683,Female,0,No,Yes,11,Yes,Yes,DSL,No,Yes,No,No,No,Yes,One year,No,Credit card (automatic),58.05,627.9,1,"Speed is okay, could be better but manageable for daily use.",No
PKTLC-14B285,Male,0,No,Yes,21,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,No,Month-to-month,Yes,Mailed check,95.02,1845.83,2,Mostly satisfied but had one bad experience with unexpected overcharging.,Yes
PKTLC-5C0500,Female,0,No,Yes,1,Yes,No,DSL,Yes,No,Yes,No,Yes,Yes,Month-to-month,No,Mailed check,64.4,56.01,1,Customer support wait time was more than 45 minutes. Very frustrating.,Yes
